Food waste for treatment: biogasification and land application,p90.2.a,C_BIOF,Food waste for treatment: biogasification and land application,p90.2.a,C_BIOF
Paper waste for treatment: biogasification and land application,p90.2.b,C_BIOP,Paper waste for treatment: biogasification and land application,p90.2.b,C_BIOP
Sewage sludge for treatment: biogasification and land application,p90.2.c,C_BIOS,Sewage sludge for treatment: biogasification and land application,p90.2.c,C_BIOS
Food waste for treatment: composting and land application,p90.3.a,C_COMF,Food waste for treatment: composting and land application,p90.3.a,C_COMF
Paper and wood waste for treatment: composting and land application,p90.3.b,C_COMW,Paper and wood waste for treatment: composting and land application,p90.3.b,C_COMW
Food waste for treatment: waste water treatment,p90.4.a,C_WASF,Food waste for treatment: waste water treatment,p90.4.a,C_WASF
Other waste for treatment: waste water treatment,p90.4.b,C_WASO,Other waste for treatment: waste water treatment,p90.4.b,C_WASO
Food waste for treatment: landfill,p90.5.a,C_LANF,Food waste for treatment: landfill,p90.5.a,C_LANF
Paper for treatment: landfill,p90.5.b,C_LANP,Paper for treatment: landfill,p90.5.b,C_LANP
Plastic waste for treatment: landfill,p90.5.c,C_LANL,Plastic waste for treatment: landfill,p90.5.c,C_LANL
Inert/metal/hazardous waste for treatment: landfill,p90.5.d,C_LANI,Inert/metal/hazardous waste for treatment: landfill,p90.5.d,C_LANI
Textiles waste for treatment: landfill,p90.5.e,C_LANT,Textiles waste for treatment: landfill,p90.5.e,C_LANT
Wood waste for treatment: landfill,p90.5.f,C_LANW,Wood waste for treatment: landfill,p90.5.f,C_LANW
Membership organisation services n.e.c. (91),p91,C_ORGA,Membership organisation services n.e.c. (91),p91,C_ORGA
Recreational; cultural and sporting services (92),p92,C_RECR,"Recreational, cultural and sporting services (92)",p92,C_RECR
Other services (93),p93,C_OSER,Other services (93),p93,C_OSER
Private households with employed persons (95),p95,C_PRHH,Private households with employed persons (95),p95,C_PRHH
Extra-territorial organizations and bodies,p99,C_EXTO,Extra-territorial organizations and bodies,p99,C_EXTO
