SITC4code,SITC4part,CPC2code,CPC2part
523.81,0,34270,1
523.83,0,34270,1
523.84,0,34270,1
523.89,0,34270,1
524.31,0,34250,1
524.32,0,34250,1
524.91,0,34280,1
524.92,0,34280,1
524.93,0,34280,1
524.94,0,34280,1
524.95,0,34280,1
524.96,0,34250,1
524.99,0,34250,1
525.11,0,33610,0
525.13,0,33620,0
525.15,0,33630,0
525.17,0,33720,0
525.19,0,33690,0
525.91,0,34260,0
525.95,0,34290,0
531.11,0,34310,1
531.12,0,34310,1
531.13,0,34310,1
531.14,0,34310,1
531.15,0,34310,1
531.16,0,34310,1
531.17,0,34310,1
531.19,0,34310,1
531.21,0,34310,1
531.22,0,34310,1
532.21,0,34320,1
532.22,0,34320,1
532.31,0,34330,1
532.32,0,34330,1
533.11,0,34340,1
533.12,0,34340,1
533.14,0,34340,1
533.15,0,34340,1
533.17,0,34340,1
533.18,0,34340,1
533.21,0,35130,1
533.29,0,35130,1
533.41,0,35110,1
533.42,0,35110,1
533.43,0,35110,1
533.44,0,35110,1
533.51,0,35110,1
533.52,0,35120,0
533.53,0,35110,1
533.54,0,35110,1
533.55,0,35110,1
541.12,0,35250,1
541.13,0,35250,1
541.14,0,35250,1
541.15,0,35250,1
541.16,0,35250,1
541.17,0,35250,1
541.31,0,35250,1
541.32,0,35250,1
541.33,0,35250,1
541.39,0,35250,1
541.41,0,35250,1
541.42,0,35250,1
541.43,0,35250,1
541.44,0,35250,1
541.45,0,35250,1
541.46,0,35250,1
541.49,0,35250,1
541.53,0,35250,1
541.54,0,35250,1
541.55,0,35250,1
541.56,0,35250,1
541.59,0,35250,1
541.61,0,35250,1
541.62,0,35270,1
541.63,0,35270,1
541.64,0,35270,1
541.91,0,35270,1
541.92,0,35270,1
541.93,0,35270,1
541.99,1,35270,1
541.99,1,35290,0
541.99,1,36990,1
541.99,1,39931,0
542.11,0,35260,1
542.12,0,35260,1
542.13,0,35260,1
542.19,0,35260,1
542.21,0,35260,1
542.22,0,35260,1
542.23,0,35260,1
542.24,0,35260,1
542.29,0,35260,1
542.31,0,35260,1
542.32,0,35260,1
542.91,0,35260,1
542.92,0,35260,1
542.93,0,35260,1
551.31,0,35410,1
551.32,0,35410,1
551.33,0,35410,1
551.35,0,35410,1
551.41,0,35410,1
551.49,0,35410,1
553.1,0,35323,1
553.2,0,35323,1
553.3,0,35323,1
553.4,0,35323,1
553.51,0,35323,1
553.52,0,35323,1
553.53,0,35323,1
553.54,0,35331,0
553.59,0,35323,1
554.11,0,35321,1
554.15,0,35321,1
554.19,0,35321,1
554.21,0,35310,0
554.22,1,35321,1
554.22,1,35322,1
554.23,0,35322,1
554.31,0,35333,1
554.32,0,35333,1
554.33,0,35333,1
554.34,0,35334,0
554.35,0,35333,1
562.11,0,34613,0
562.12,0,34619,1
562.13,0,34612,0
562.14,0,34614,0
562.16,0,34611,0
562.17,0,34619,1
562.19,1,34615,0
562.19,1,34619,1
562.22,0,34621,0
562.29,0,34629,0
562.31,0,34631,0
562.32,0,34632,0
562.39,0,34639,0
562.91,0,34641,0
562.92,0,34645,0
562.93,0,34642,0
562.94,0,34643,0
562.95,0,34644,0
562.96,0,34659,0
562.99,0,34649,0
571.11,0,34710,1
571.12,0,34710,1
571.2,0,34710,1
571.9,0,34710,1
572.11,0,34720,1
572.19,0,34720,1
572.91,0,34720,1
572.92,0,34720,1
572.99,0,34720,1
573.11,0,34730,1
573.12,0,34730,1
573.13,0,34730,1
573.91,0,34730,1
573.92,0,34730,1
573.93,0,34730,1
573.94,0,34730,1
573.99,0,34730,1
574.11,0,34740,1
574.19,0,34740,1
